"type","name","count","units","time_units"
"clip2d","LT Butterfly",394,"mm","s"

"time","X","Y"
3.140,-8.637,134.411
3.150,-3.206,132.368
3.160,3.078,129.705
3.170,10.990,125.718
3.180,21.375,118.492
3.190,31.688,110.335
3.200,43.621,100.619
3.210,53.378,93.970
3.220,55.543,92.644
3.230,57.982,90.913
