Frame, PELVIS,,, SPINE_NAVAL,,, SPINE_CHEST,,,NECK,,, CLAVICLE_LEFT,,, SHOULDER_LEFT,,,ELBOW_LEFT,,,WRIST_LEFT,,,HAND_LEFT,,,HANDTIP_LEFT,,,THUMB_LEFT,,,CLAVICLE_RIGHT,,,SHOULDER_RIGHT,,,ELBOW_RIGHT,,,WRIST_RIGHT,,,HAND_RIGHT,,,HANDTIP_RIGHT,,,THUMB_RIGHT,,,HIP_LEFT,,,KNEE_LEFT,,,ANKLE_LEFT,,,FOOT_LEFT,,,HIP_RIGHT,,,KNEE_RIGHT,,,ANKLE_RIGHT,,,FOOT_RIGHT,,,HEAD,,,NOSE,,,EYE_LEFT,,,EAR_LEFT,,,EYE_RIGHT,,,EAR_RIGHT,,,Hour, Minute, Second, Millisecond, FootSwitch
10, -348.974548, -770.651550, 4283.063965, -330.736694, -941.369873, 4226.190430, -316.307037, -1080.578247, 4189.861816, -303.598328, -1296.528198, 4149.279785, -271.811646, -1259.991455, 4160.406738, -136.596649, -1210.805786, 4177.733398, -95.196754, -952.397949, 4277.712891, -100.095093, -717.316528, 4277.237305, -143.133469, -631.361511, 4294.240234, -225.595001, -566.922607, 4261.875000, -177.032928, -597.361206, 4265.399902, -339.668091, -1262.099243, 4153.655273, -463.356018, -1223.238647, 4122.571777, -586.219055, -985.376160, 4221.608398, -619.856262, -749.680969, 4218.086426, -565.405151, -659.859985, 4214.179688, -554.869263, -563.039856, 4260.098633, -533.069580, -655.941162, 4236.900879, -257.014435, -762.175110, 4287.109375, -259.500916, -370.589813, 4393.744141, -270.899048, -31.094164, 4580.975586, -263.359344, 136.156265, 4491.306641, -431.899078, -778.295166, 4279.416016, -476.092285, -382.388306, 4354.692383, -485.960175, -29.443295, 4524.860352, -531.668091, 126.663895, 4461.029297, -297.638641, -1374.107666, 4120.927246, -227.875748, -1320.268921, 3983.915771, -201.940750, -1362.733521, 4011.191895, -196.093201, -1402.805420, 4133.164063, -245.887329, -1369.504639, 3982.342041, -335.466003, -1442.544922, 4047.791992, 15, 31, 2, 562, 0,
11, -349.279602, -767.173218, 4284.918457, -334.894379, -940.324463, 4225.563477, -323.149292, -1081.527100, 4187.229492, -302.211395, -1301.094849, 4151.532227, -271.152863, -1262.239258, 4159.908691, -139.675568, -1199.492798, 4180.421387, -65.687943, -950.506958, 4296.239746, -53.451908, -718.790588, 4240.255371, -117.739006, -647.003296, 4263.375488, -210.548279, -587.363403, 4277.371582, -155.874664, -620.173401, 4253.657227, -340.135254, -1267.733643, 4157.088379, -470.880096, -1232.823242, 4159.335449, -614.207031, -997.062256, 4247.910645, -659.489624, -770.446899, 4177.036621, -607.243042, -678.191406, 4165.007324, -566.635559, -607.734009, 4238.045898, -552.671814, -682.613037, 4223.750000, -255.765732, -759.359192, 4284.787109, -265.737488, -365.997772, 4406.916016, -277.327393, -3.279954, 4559.690918, -275.231384, 149.359207, 4441.924805, -433.605194, -774.219482, 4285.036621, -470.167175, -370.998718, 4358.922852, -462.031647, -18.275291, 4542.873535, -525.719543, 125.441414, 4460.683105, -294.062683, -1380.339111, 4124.673340, -230.303131, -1340.824097, 3977.290527, -195.165955, -1366.396118, 4015.101318, -188.413971, -1373.517334, 4145.199219, -233.239365, -1392.926514, 3987.864746, -304.362274, -1473.371460, 4069.424561, 15, 31, 2, 596, 0,
12, -349.714081, -763.510254, 4284.889160, -332.822388, -935.253723, 4225.507813, -319.480835, -1075.611206, 4187.967773, -307.046570, -1293.810181, 4148.480469, -274.994598, -1257.048340, 4160.113770, -137.146439, -1211.678467, 4178.121582, -89.024422, -953.057739, 4281.623535, -70.577583, -716.603516, 4275.069824, -122.030228, -640.900208, 4311.466797, -186.997955, -562.079285, 4269.221191, -162.661438, -609.663696, 4271.882813, -343.334015, -1258.854370, 4152.007813, -469.738770, -1222.063110, 4124.317383, -587.133789, -980.383301, 4228.118164, -607.329102, -742.117310, 4204.675781, -567.194702, -650.790527, 4240.699707, -544.454102, -545.601929, 4255.630859, -544.360535, -637.713440, 4227.307617, -256.845581, -755.729614, 4288.803711, -258.919067, -361.199585, 4398.604004, -269.295471, -18.278091, 4586.960938, -263.942474, 144.098007, 4485.314941, -433.457642, -770.526367, 4281.359863, -474.671600, -371.567413, 4361.899414, -486.117767, -15.765637, 4534.221680, -532.643677, 133.419083, 4452.563477, -300.908386, -1372.283447, 4120.426270, -245.651382, -1339.354492, 3969.155029, -210.038712, -1366.896851, 4004.532715, -194.474701, -1373.095215, 4133.129395, -251.581070, -1390.671631, 3980.666992, -321.855652, -1464.314697, 4067.857666, 15, 31, 2, 629, 0,
13, -348.967346, -766.709717, 4285.631348, -332.636078, -939.561951, 4225.411621, -319.425323, -1080.629883, 4186.563965, -301.952972, -1300.674927, 4150.702637, -270.276337, -1262.341797, 4159.434082, -137.023331, -1204.163086, 4182.701660, -54.844128, -956.058105, 4295.466309, -37.678211, -725.506470, 4235.227051, -105.700912, -671.639404, 4283.283691, -176.514297, -586.460266, 4272.408691, -137.254288, -627.049866, 4265.376465, -339.375519, -1266.637451, 4155.959473, -469.461334, -1228.932129, 4158.505859, -604.250488, -988.664856, 4249.190918, -643.025757, -761.561218, 4175.352539, -599.749817, -670.239563, 4209.895508, -559.157715, -576.717163, 4249.580566, -555.109924, -668.444702, 4219.465332, -255.432724, -758.244202, 4286.698242, -267.859161, -361.499878, 4398.449707, -281.527191, -17.747641, 4590.702637, -270.855896, 146.901962, 4490.630859, -433.311615, -774.343506, 4284.668945, -469.245117, -370.978180, 4360.089844, -463.987488, -15.725433, 4539.995605, -523.750671, 129.979675, 4458.020020, -294.923828, -1380.083008, 4123.778320, -230.181229, -1336.249023, 3977.889160, -195.283279, -1363.050049, 4015.143799, -189.287430, -1374.112183, 4145.118652, -233.287689, -1388.686157, 3986.879395, -305.105927, -1471.466675, 4065.642822, 15, 31, 2, 661, 0,
14, -350.556305, -766.878967, 4287.401855, -333.513000, -940.888733, 4226.470215, -319.834717, -1083.151123, 4187.934082, -306.782471, -1304.560181, 4148.229980, -274.235626, -1267.036987, 4159.203613, -134.894333, -1217.607666, 4171.519043, -97.411766, -954.581360, 4279.523438, -89.774963, -714.042419, 4274.549316, -136.207260, -648.770813, 4334.306152, -172.082901, -561.059875, 4274.342773, -171.236359, -598.214111, 4269.337891, -343.721100, -1269.304932, 4152.522949, -472.654968, -1233.353882, 4125.839844, -581.636597, -981.566650, 4226.440918, -605.405640, -740.339966, 4200.692871, -565.180664, -649.075806, 4241.081055, -546.660889, -542.953125, 4264.433594, -544.023804, -633.440430, 4228.898926, -256.329712, -758.397583, 4289.536621, -261.878296, -358.501923, 4402.129883, -270.035706, -14.753312, 4600.716309, -264.543915, 140.568466, 4483.896484, -435.524597, -774.527039, 4285.476074, -477.397522, -368.353302, 4359.791992, -482.573273, -12.787878, 4545.660645, -535.622803, 126.641365, 4446.947754, -300.709412, -1384.219604, 4119.862793, -244.600861, -1335.690063, 3970.502441, -216.056595, -1378.948853, 3996.738281, -196.731262, -1416.039429, 4121.481934, -264.294678, -1385.590454, 3972.794189, -349.437805, -1455.580200, 4052.431641, 15, 31, 2, 706, 0,
15, -349.286133, -766.882446, 4284.515137, -333.926178, -940.547302, 4226.554688, -321.602295, -1081.988281, 4188.925293, -305.242706, -1301.594849, 4150.292480, -273.539825, -1263.843750, 4161.139160, -136.700729, -1211.897949, 4176.912109, -96.382439, -951.372375, 4284.090820, -87.215569, -713.220337, 4268.291504, -121.845070, -646.940125, 4333.416016, -171.005524, -564.762451, 4276.737793, -169.311676, -598.744263, 4269.312500, -342.429382, -1267.154419, 4154.343262, -469.694122, -1230.037231, 4126.636719, -581.620239, -979.588318, 4220.592285, -608.223206, -740.153931, 4198.982910, -564.727295, -648.848206, 4233.210938, -547.032959, -543.689819, 4257.540039, -543.418213, -633.265137, 4222.320313, -255.717102, -759.213135, 4286.332031, -260.535461, -362.151764, 4397.175781, -255.436508, -19.320906, 4591.289063, -261.645599, 136.846130, 4478.181641, -433.661469, -773.798096, 4282.875977, -476.022949, -371.670288, 4360.980469, -482.568573, -16.044199, 4539.892090, -535.818054, 127.666695, 4450.348145, -297.954529, -1380.631226, 4122.422852, -249.363663, -1337.689575, 3970.177734, -213.625183, -1371.019531, 4000.744873, -190.602753, -1390.172241, 4127.814941, -258.538940, -1389.643677, 3977.616699, -329.242493, -1466.326416, 4063.209961, 15, 31, 2, 741, 0,
16, -349.156891, -769.285156, 4281.839355, -342.968811, -946.178406, 4235.173340, -337.799286, -1089.807739, 4207.621094, -324.533112, -1302.977417, 4144.350098, -292.182526, -1266.316040, 4156.120605, -178.159119, -1178.802490, 4126.911621, -365.128052, -977.962524, 4198.315430, -520.885071, -809.666443, 4261.938477, -516.530212, -713.585815, 4239.335938, -443.370087, -632.212585, 4221.516602, -450.588654, -706.899292, 4207.731934, -361.140717, -1269.799438, 4155.553711, -471.847015, -1203.506958, 4116.100586, -569.941772, -958.257568, 4233.119629, -617.479004, -730.796814, 4296.965820, -568.046082, -642.670044, 4263.699707, -541.935181, -538.916443, 4242.988281, -547.369446, -641.516113, 4225.270508, -255.680557, -765.669128, 4280.527832, -258.564606, -370.973785, 4394.229004, -272.675171, -25.647699, 4580.376953, -245.554977, 135.664810, 4479.433105, -433.448608, -772.545959, 4283.022461, -476.559143, -372.024567, 4361.008789, -482.733368, -16.168446, 4536.187988, -534.631165, 129.053238, 4449.628418, -319.698181, -1378.186279, 4107.676270, -213.562988, -1341.226807, 3987.044434, -205.689011, -1391.056274, 4014.487793, -233.037354, -1436.440918, 4133.277344, -244.495499, -1383.459106, 3978.236816, -362.386047, -1430.257568, 4022.774170, 15, 31, 2, 770, 0,
17, -348.149261, -768.667908, 4281.954102, -341.371704, -945.550354, 4235.333496, -335.723389, -1089.249512, 4208.248047, -316.892914, -1302.566284, 4146.918457, -285.513245, -1264.994873, 4158.444336, -163.692230, -1183.504517, 4152.802246, -299.495880, -951.446411, 4242.791504, -413.272522, -756.922607, 4319.252930, -421.128113, -669.404541, 4274.085449, -377.951660, -575.342407, 4234.343262, -381.684174, -697.004578, 4221.894531, -354.358948, -1270.227905, 4157.731445, -474.319885, -1212.651978, 4135.342285, -549.901855, -955.540100, 4243.245117, -590.964417, -724.917236, 4299.820313, -554.900024, -635.820862, 4254.239746, -539.557312, -531.759338, 4225.757813, -544.769470, -633.107117, 4215.752441, -254.684097, -764.761902, 4280.722168, -258.871552, -370.082123, 4394.427734, -273.472748, -24.440914, 4579.946777, -245.561539, 135.968948, 4477.790039, -432.430908, -772.190125, 4283.065430, -476.812500, -371.767548, 4360.832031, -483.880890, -16.035170, 4536.224121, -535.494995, 129.373032, 4449.809082, -310.054840, -1377.950317, 4110.931152, -207.537628, -1330.193604, 3990.964600, -190.119797, -1373.308838, 4024.665771, -214.127487, -1410.463989, 4146.983398, -227.063736, -1379.329224, 3986.239258, -333.496368, -1447.842773, 4031.512207, 15, 31, 2, 803, 0,
18, -345.076843, -772.625916, 4278.403809, -330.637329, -943.625183, 4223.411621, -318.964539, -1082.848267, 4188.266602, -308.318726, -1298.468140, 4149.739746, -276.321960, -1262.285889, 4160.611328, -141.602066, -1211.559937, 4171.871582, -110.454277, -954.655212, 4276.475098, -104.284096, -720.474731, 4274.085449, -149.129898, -638.115295, 4299.891602, -233.839417, -594.311157, 4246.809082, -155.346695, -586.480713, 4276.611328, -343.926971, -1263.773560, 4153.687988, -467.545166, -1223.750244, 4126.083008, -578.956238, -978.202271, 4216.535645, -591.597961, -741.840332, 4200.540527, -557.151672, -649.143250, 4235.009766, -529.985962, -547.685181, 4256.859863, -537.553101, -637.796509, 4224.124023, -253.284927, -765.130676, 4279.199219, -251.179306, -374.542542, 4383.847656, -278.031586, -48.278065, 4589.215820, -326.663544, 133.286728, 4567.395996, -427.849609, -779.384705, 4277.686523, -463.548370, -384.948853, 4357.116211, -465.438995, -32.615631, 4525.526367, -531.941895, 114.780220, 4461.010742, -303.062958, -1376.062134, 4122.181152, -244.883713, -1323.118896, 3980.208496, -216.673950, -1365.015015, 4005.610352, -201.031891, -1403.854492, 4126.620605, -262.528168, -1372.308472, 3980.447998, -345.839355, -1445.129639, 4053.046631, 15, 31, 2, 835, 0,
19, -347.262299, -764.958557, 4284.769043, -330.357239, -938.126282, 4223.865234, -316.654846, -1079.700073, 4185.292480, -297.709869, -1300.208252, 4148.670898, -266.230713, -1261.683350, 4158.152832, -134.422668, -1199.396240, 4181.923828, -62.983356, -950.075134, 4301.370117, -49.434784, -716.574463, 4249.137695, -116.458427, -646.387695, 4271.077148, -222.311295, -611.293457, 4265.662109, -139.630386, -609.716187, 4265.976563, -335.457916, -1266.219727, 4153.432617, -467.007751, -1232.380005, 4157.270508, -599.445313, -987.613586, 4242.098633, -628.107300, -761.855408, 4157.781738, -588.056091, -674.731567, 4205.555664, -552.822937, -585.342468, 4258.584473, -550.606201, -674.725586, 4220.823242, -253.464050, -756.149963, 4285.758789, -266.047241, -358.658813, 4399.577637, -291.727814, -15.439868, 4594.065918, -292.966431, 152.879837, 4498.475586, -431.844299, -772.901672, 4283.876465, -457.185913, -367.796814, 4361.283691, -469.941193, -12.725801, 4543.908691, -536.044128, 126.982208, 4455.416992, -289.901154, -1379.718750, 4121.443359, -230.687195, -1353.084839, 3968.628174, -194.498672, -1376.437012, 4007.227539, -183.035034, -1373.482788, 4137.682129, -234.178894, -1404.332397, 3983.439453, -303.954163, -1476.943604, 4073.921631, 15, 31, 2, 867, 0,
